,0
prev_delay_1,1177
rolling_delay_3,813
total_stops,604
prev_delay_2,426
distance_to_destination_km,415
stop_index,309
stops_remaining,224
train_priority,221
month_sin,182
day_of_week_cos,173
upstream_delay_1hop,167
day_of_week,152
upstream_delay_2hop,142
route_progress,125
scheduled_arrival_cos,120
day_of_week_sin,114
scheduled_arrival_hour,111
scheduled_arrival_sin,91
zone_encoded,78
distance_from_origin_km,58
pct_significant_delay,45
pct_right_time,37
historical_mean_delay,33
month_cos,33
is_peak_hour,23
historical_p90_delay,2
scheduled_dwell_minutes,0
month,0
station_degree,0
station_betweenness,0
headway_margin_minutes,0
platform_conflict_score,0
track_occupancy_proxy,0
